economy,economy_code,pillar_i_overall,pillar_ii_overall,pillar_iii_overall,category_2_2_overall,topic
Bulgaria,BGR,88.4,76.14,78.75,24.41,utility_services
Cambodia,KHM,56.56,48.95,87.83,22.52,utility_services
Central African Republic,CAF,63.4,20.11,75.54,8.33,utility_services
Chad,TCD,53.82,29.73,46.83,4.17,utility_services
Colombia,COL,68.96,76.85,79.17,25.83,utility_services
Costa Rica,CRI,74.37,66.74,69.54,21.95,utility_services
Croatia,HRV,88.82,74.98,66.5,24.07,utility_services
Côte dIvoire,CIV,77.36,59.13,40.13,16.93,utility_services
El Salvador,SLV,57.4,62.52,76.79,14.39,utility_services
Estonia,EST,62.15,82.58,73.42,26.4,utility_services
"Gambia, The",GMB,36.46,32.55,40.29,9.09,utility_services
Georgia,GEO,81.53,65.25,72.46,25.02,utility_services
Ghana,GHA,74.48,71.16,59.92,20.28,utility_services
Greece,GRC,76.74,67.78,63.38,23.37,utility_services
Hong Kong SAR China,HKG,68.07,78.56,86.5,26.88,utility_services
Hungary,HUN,75.83,80.26,37.25,24.73,utility_services
Indonesia,IDN,60,52.69,98.96,19.56,utility_services
Iraq,IRQ,53.06,36.63,72.88,9.01,utility_services
Kyrgyz Republic,KGZ,73.3,52.63,89.83,23.7,utility_services
Lesotho,LSO,57.33,49.6,61.21,16.08,utility_services
Madagascar,MDG,49.55,33.18,22.38,8.66,utility_services
Mauritius,MUS,36.53,40.91,47,15.55,utility_services
Mexico,MEX,63.89,68.57,97.92,19.67,utility_services
Montenegro,MNE,78.26,69.47,73.17,23.66,utility_services
Morocco,MAR,70.68,61.25,98,14.51,utility_services
Nepal,NPL,58.58,67.33,70.25,23.94,utility_services
New Zealand,NZL,57.01,77.35,54.63,27.54,utility_services
North Macedonia,MKD,75.09,62.99,97.25,18.33,utility_services
Pakistan,PAK,45.97,43.73,87.92,5.6,utility_services
Paraguay,PRY,37.67,45.25,78,9.7,utility_services
Peru,PER,72.85,70.21,52.83,24.79,utility_services
Philippines,PHL,78.61,54.51,66.29,24.7,utility_services
Portugal,PRT,70.07,72.73,91.79,23.66,utility_services
Romania,ROM,72.01,71.31,59.5,22.52,utility_services
Rwanda,RWA,65.19,70.89,67.21,19.81,utility_services
Samoa,WSM,64.34,53.96,76.79,20.53,utility_services
Seychelles,SYC,56.94,38.79,65.58,16.48,utility_services
Sierra Leone,SLE,53.14,54.56,73.92,18.3,utility_services
Singapore,SGP,74.74,71.87,98.67,22.61,utility_services
Slovak Republic,SVK,91.74,82.33,85.21,27.92,utility_services
Tanzania,TZA,75.56,69.5,91.13,22.94,utility_services
Timor-Leste,TMP,60.09,48.99,71.5,18.58,utility_services
Togo,TGO,71.04,67.54,56.54,21.89,utility_services
Vanuatu,VUT,47.67,55.37,50.38,14.6,utility_services
Vietnam,VNM,74.17,66.56,95.46,25.27,utility_services
West Bank and Gaza,WBG,51.91,43.86,77.5,14.66,utility_services
